,fiscal_year_released,recidivism_reporting_year,main_supervising_district,releasetype,race_ethnicity,ageat_release,sex,offenseclassification,offensetype,offensesubtype,return_to_prison,recidivism_type,target_population
20661,2012,2015,5JD,Parole,Black - Non-Hispanic,45-54,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,Tech,Yes
20662,2012,2015,5JD,Special Sentence,Asian or Pacific Islander - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Other,Special Sentence Revocation,Yes,Tech,Yes
20663,2012,2015,6JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,Tech,Yes
20664,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Public Order,OWI,Yes,Tech,Yes
20665,2012,2015,7JD,Special Sentence,White - Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Sex,Yes,Tech,Yes
20666,2012,2015,6JD,Parole,White - Non-Hispanic,0-25,Male,C Felony,Property,Burglary,Yes,Tech,Yes
20667,2012,2015,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,Yes,New,Yes
20669,2012,2015,8JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,New,Yes
20670,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,Yes,Tech,No
20671,2012,2015,5JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Theft,Yes,Tech,Yes
20672,2012,2015,5JD,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,New,Yes
20673,2012,2015,5JD,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,New,Yes
20674,2012,2015,5JD,Parole,White - Non-Hispanic,45-54,Male,B Felony,Drug,Trafficking,Yes,New,Yes
20676,2012,2015,2JD,Special Sentence,White - Hispanic,0-25,Male,Aggravated Misdemeanor,Violent,Sex,Yes,Tech,Yes
20679,2012,2015,4JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,Tech,Yes
20680,2012,2015,5JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Theft,Yes,New,Yes
20682,2012,2015,5JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,New,Yes
20683,2012,2015,5JD,Parole,Black - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,Yes,Tech,Yes
20685,2012,2015,3JD,Parole,American Indian or Alaska Native - Non-Hispanic,25-34,Male,D Felony,Public Order,OWI,Yes,New,Yes
20686,2012,2015,1JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,Tech,Yes
20689,2012,2015,8JD,Parole,White - Non-Hispanic,0-25,Female,C Felony,Drug,Trafficking,Yes,New,Yes
20691,2012,2015,1JD,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,New,Yes
20692,2012,2015,7JD,Special Sentence,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,Tech,Yes
20694,2012,2015,1JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,New,Yes
20695,2012,2015,8JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,New,No
20696,2012,2015,3JD,Special Sentence,White - Non-Hispanic,0-25,Male,C Felony,Violent,Sex,Yes,Tech,Yes
20697,2012,2015,1JD,Parole,Black - Non-Hispanic,0-25,Male,C Felony,Property,Burglary,Yes,New,No
20698,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Property,Vandalism,Yes,New,Yes
20699,2012,2015,5JD,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,Yes,New,Yes
20701,2012,2015,8JD,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,Tech,Yes
20702,2012,2015,5JD,Parole,White - Non-Hispanic,45-54,Female,D Felony,Drug,Drug Possession,Yes,New,Yes
20703,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,Tech,Yes
20704,2012,2015,8JD,Parole,White - Non-Hispanic,45-54,Female,Felony - Enhancement to Original Penalty,Property,Forgery/Fraud,Yes,New,Yes
20706,2012,2015,ISC,Parole,White - Non-Hispanic,0-25,Male,C Felony,Drug,Trafficking,Yes,Tech,Yes
20708,2012,2015,ISC,Parole,White - Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Assault,Yes,New,Yes
20709,2012,2015,1JD,Parole,White - Non-Hispanic,0-25,Male,C Felony,Property,Theft,Yes,New,Yes
20710,2012,2015,8JD,Special Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Sex,Yes,Tech,Yes
20711,2012,2015,7JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Forgery/Fraud,Yes,New,Yes
20712,2012,2015,1JD,Parole,Black - Non-Hispanic,0-25,Male,C Felony,Drug,Trafficking,Yes,New,Yes
20713,2012,2015,4JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Violent,Kidnap,Yes,Tech,Yes
20714,2012,2015,3JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,Tech,Yes
20715,2012,2015,8JD,Parole,White - Hispanic,25-34,Male,D Felony,Public Order,OWI,Yes,New,Yes
20717,2012,2015,1JD,Parole,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,Yes,Tech,Yes
20718,2012,2015,5JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Property,Vandalism,Yes,Tech,Yes
20719,2012,2015,5JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Property,Burglary,Yes,New,Yes
20721,2012,2015,1JD,Parole,Black - Non-Hispanic,25-34,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,New,No
20724,2012,2015,7JD,Special Sentence,White - Non-Hispanic,25-34,Male,C Felony,Violent,Sex,Yes,Tech,Yes
20726,2012,2015,2JD,Special Sentence,White - Non-Hispanic,0-25,Male,D Felony,Violent,Sex,Yes,Tech,Yes
20727,2012,2015,1JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Property,Forgery/Fraud,Yes,New,Yes
20729,2012,2015,6JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,New,Yes
20731,2012,2015,3JD,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhancement to Original Penalty,Property,Burglary,Yes,Tech,Yes
20732,2012,2015,5JD,Parole,White - Non-Hispanic,45-54,Male,B Felony,Drug,Trafficking,Yes,New,Yes
20733,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,Yes,Tech,Yes
20734,2012,2015,2JD,Parole,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Public Order,Alcohol,Yes,New,Yes
20736,2012,2015,ISC,Parole,Black - Non-Hispanic,0-25,Male,C Felony,Property,Burglary,Yes,New,No
20737,2012,2015,7JD,Parole,Black - Non-Hispanic,25-34,Female,B Felony,Drug,Trafficking,Yes,New,Yes
20738,2012,2015,6JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Burglary,Yes,New,Yes
20739,2012,2015,3JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Property,Theft,Yes,Tech,Yes
20740,2012,2015,2JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,New,Yes
20743,2012,2015,8JD,Parole,White - Non-Hispanic,0-25,Male,C Felony,Drug,Trafficking,Yes,New,Yes
20744,2012,2015,8JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,Yes,New,Yes
20745,2012,2015,4JD,Special Sentence,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,Tech,Yes
20749,2012,2015,2JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Other,Other Criminal,Yes,New,Yes
20751,2012,2015,3JD,Parole,Black - Non-Hispanic,35-44,Male,Felony - Enhancement to Original Penalty,Violent,Robbery,Yes,New,Yes
20752,2012,2015,ISC,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,Yes,Tech,Yes
20753,2012,2015,8JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,New,Yes
20755,2012,2015,5JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Violent,Assault,Yes,Tech,Yes
20756,2012,2015,5JD,Parole,White - Non-Hispanic,55 and Older,Male,D Felony,Property,Vandalism,Yes,New,Yes
20757,2012,2015,8JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Property,Theft,Yes,New,Yes
20758,2012,2015,2JD,Parole,White - Non-Hispanic,25-34,Female,D Felony,Property,Forgery/Fraud,Yes,Tech,Yes
20759,2012,2015,8JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,New,Yes
20760,2012,2015,5JD,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,New,Yes
20762,2012,2015,6JD,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Violent,Murder/Manslaughter,Yes,Tech,Yes
20763,2012,2015,3JD,Parole,Black - Non-Hispanic,0-25,Male,C Felony,Property,Theft,Yes,Tech,No
20767,2012,2015,6JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Property,Forgery/Fraud,Yes,New,Yes
20768,2012,2015,7JD,Parole,White - Non-Hispanic,45-54,Female,D Felony,Violent,Assault,Yes,Tech,Yes
20769,2012,2015,8JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Public Order,OWI,Yes,New,Yes
20770,2012,2015,3JD,Parole,White - Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,Tech,No
20772,2012,2015,3JD,Parole,Black - Non-Hispanic,25-34,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,Tech,Yes
20773,2012,2015,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Public Order,OWI,Yes,New,Yes
20774,2012,2015,3JD,Parole,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Public Order,OWI,Yes,New,Yes
20775,2012,2015,2JD,Parole,Black - Non-Hispanic,0-25,Male,C Felony,Property,Theft,Yes,Tech,No
20776,2012,2015,1JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Violent,Assault,Yes,New,Yes
20778,2012,2015,5JD,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,Yes,New,Yes
20779,2012,2015,1JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Property,Burglary,Yes,Tech,Yes
20781,2012,2015,1JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,Tech,Yes
20782,2012,2015,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Burglary,Yes,Tech,Yes
20784,2012,2015,5JD,Parole,White - Non-Hispanic,25-34,Female,D Felony,Public Order,OWI,Yes,New,Yes
20785,2012,2015,5JD,Parole,White - Non-Hispanic,25-34,Female,B Felony,Drug,Trafficking,Yes,Tech,Yes
20786,2012,2015,4JD,Parole,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,Yes,New,Yes
20788,2012,2015,5JD,Parole,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Property,Burglary,Yes,New,Yes
20789,2012,2015,3JD,Parole,White - Non-Hispanic,45-54,Female,D Felony,Public Order,OWI,Yes,Tech,Yes
20790,2012,2015,2JD,Parole,White - Non-Hispanic,25-34,Female,C Felony,Violent,Other Violent,Yes,New,Yes
20791,2012,2015,3JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,New,Yes
20793,2012,2015,5JD,Parole,Black - Non-Hispanic,45-54,Male,C Felony,Property,Burglary,Yes,New,Yes
20796,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Forgery/Fraud,Yes,New,Yes
20797,2012,2015,7JD,Parole,White - Non-Hispanic,0-25,Male,C Felony,Drug,Trafficking,Yes,Tech,Yes
20799,2012,2015,2JD,Parole,White - Non-Hispanic,35-44,Female,C Felony,Drug,Other Drug,Yes,New,Yes
20801,2012,2015,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Theft,Yes,New,Yes
20802,2012,2015,8JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Violent,Assault,Yes,New,Yes
20804,2012,2015,3JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Burglary,Yes,Tech,Yes
20805,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Female,Aggravated Misdemeanor,Property,Theft,Yes,Tech,Yes
20807,2012,2015,6JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,Yes,Tech,Yes
20809,2012,2015,1JD,Parole,White - Non-Hispanic,45-54,Male,B Felony,Drug,Trafficking,Yes,Tech,Yes
20814,2012,2015,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Drug Possession,Yes,Tech,No
20815,2012,2015,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Public Order,OWI,Yes,New,Yes
20816,2012,2015,ISC,Parole,Black - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,Yes,Tech,Yes
20817,2012,2015,5JD,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Property,Burglary,Yes,Tech,Yes
20818,2012,2015,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,Yes,New,Yes
20819,2012,2015,1JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Public Order,OWI,Yes,New,Yes
20820,2012,2015,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Violent,Sex,Yes,Tech,Yes
20821,2012,2015,5JD,Parole,Black - Non-Hispanic,35-44,Male,B Felony,Other,Other Criminal,Yes,New,Yes
20824,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,New,Yes
20825,2012,2015,6JD,Parole,Black - Non-Hispanic,35-44,Male,C Felony,Property,Theft,Yes,Tech,Yes
20826,2012,2015,7JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,Tech,Yes
20828,2012,2015,5JD,Parole,Black - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,Yes,Tech,Yes
20829,2012,2015,8JD,Parole,White - Non-Hispanic,0-25,Male,C Felony,Drug,Trafficking,Yes,Tech,Yes
20830,2012,2015,7JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Public Order,Weapons,Yes,Tech,Yes
20831,2012,2015,1JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,Tech,Yes
20834,2012,2015,7JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,Tech,Yes
20836,2012,2015,5JD,Special Sentence,White - Non-Hispanic,25-34,Male,D Felony,Violent,Sex,Yes,Tech,Yes
20837,2012,2015,5JD,Parole,Black - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Public Order,OWI,Yes,New,Yes
20838,2012,2015,8JD,Parole,Black - Non-Hispanic,0-25,Male,D Felony,Drug,Trafficking,Yes,New,Yes
20839,2012,2015,5JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,New,Yes
20841,2012,2015,5JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,Yes,New,Yes
20842,2012,2015,5JD,Parole,Black - Non-Hispanic,0-25,Male,D Felony,Drug,Trafficking,Yes,New,Yes
20843,2012,2015,1JD,Parole,Black - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Public Order,OWI,Yes,Tech,Yes
20844,2012,2015,3JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Forgery/Fraud,Yes,Tech,Yes
20845,2012,2015,1JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Public Order,OWI,Yes,Tech,Yes
20846,2012,2015,5JD,Parole,Black - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,New,Yes
20848,2012,2015,8JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,Tech,Yes
20849,2012,2015,1JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,Tech,Yes
20851,2012,2015,6JD,Special Sentence,White - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Violent,Sex,Yes,Tech,Yes
20853,2012,2015,5JD,Parole,White - Non-Hispanic,0-25,Female,C Felony,Drug,Trafficking,Yes,Tech,Yes
20854,2012,2015,1JD,Parole,Black - Non-Hispanic,55 and Older,Male,D Felony,Public Order,OWI,Yes,New,Yes
20855,2012,2015,1JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,Yes,New,Yes
20856,2012,2015,2JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Property,Burglary,Yes,Tech,Yes
20857,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,Yes,Tech,Yes
20861,2012,2015,1JD,Parole,Black - Non-Hispanic,0-25,Male,D Felony,Drug,Trafficking,Yes,Tech,Yes
20863,2012,2015,8JD,Parole,White - Non-Hispanic,0-25,Male,C Felony,Property,Theft,Yes,New,Yes
20864,2012,2015,5JD,Parole,White - Non-Hispanic,45-54,Male,B Felony,Drug,Trafficking,Yes,New,Yes
20865,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,Yes,Tech,Yes
20867,2012,2015,5JD,Parole,White - Non-Hispanic,45-54,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,Tech,Yes
20868,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,Yes,New,Yes
20869,2012,2015,1JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Violent,Assault,Yes,New,Yes
20871,2012,2015,3JD,Parole,American Indian or Alaska Native - Non-Hispanic,25-34,Male,D Felony,Public Order,OWI,Yes,New,Yes
20872,2012,2015,5JD,Parole,Black - Non-Hispanic,45-54,Male,Felony - Enhancement to Original Penalty,Property,Theft,Yes,Tech,Yes
20876,2012,2015,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Theft,Yes,Tech,Yes
20877,2012,2015,5JD,Parole,Black - Non-Hispanic,35-44,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,New,Yes
20878,2012,2015,6JD,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Public Order,OWI,Yes,Tech,Yes
20879,2012,2015,5JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,Yes,New,Yes
20880,2012,2015,5JD,Parole,White - Non-Hispanic,45-54,Male,Felony - Enhancement to Original Penalty,Drug,Drug Possession,Yes,Tech,Yes
20881,2012,2015,5JD,Parole,Asian or Pacific Islander - Non-Hispanic,35-44,Male,C Felony,Violent,Assault,Yes,New,Yes
20882,2012,2015,8JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,New,Yes
20884,2012,2015,5JD,Parole,White - Non-Hispanic,25-34,Female,C Felony,Drug,Trafficking,Yes,New,Yes
20885,2012,2015,5JD,Parole,Black - Non-Hispanic,55 and Older,Male,D Felony,Property,Burglary,Yes,New,Yes
20886,2012,2015,1JD,Parole,Black - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Property,Theft,Yes,New,Yes
20887,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,Yes,New,Yes
20888,2012,2015,2JD,Parole,Asian or Pacific Islander - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,Yes,New,Yes
20889,2012,2015,6JD,Parole,White - Non-Hispanic,0-25,Male,C Felony,Property,Burglary,Yes,Tech,Yes
20890,2012,2015,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Forgery/Fraud,Yes,Tech,Yes
20891,2012,2015,8JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Property,Burglary,Yes,Tech,Yes
20892,2012,2015,8JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,Tech,Yes
20893,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Violent,Assault,Yes,New,Yes
20894,2012,2015,5JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,Tech,Yes
20896,2012,2015,1JD,Special Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Sex,Yes,Tech,Yes
20897,2012,2015,6JD,Special Sentence,American Indian or Alaska Native - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Other,Special Sentence Revocation,Yes,Tech,Yes
20902,2012,2015,1JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,New,Yes
20903,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Property,Forgery/Fraud,Yes,New,Yes
20904,2012,2015,5JD,Parole,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,Yes,Tech,Yes
20905,2012,2015,1JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,New,Yes
20907,2012,2015,2JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Property,Burglary,Yes,New,No
20909,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Female,Aggravated Misdemeanor,Property,Forgery/Fraud,Yes,New,Yes
20911,2012,2015,2JD,Parole,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Property,Burglary,Yes,New,Yes
20912,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,Felony - Enhancement to Original Penalty,Violent,Robbery,Yes,New,Yes
20913,2012,2015,5JD,Parole,Black - Non-Hispanic,0-25,Male,D Felony,Public Order,Weapons,Yes,Tech,Yes
20914,2012,2015,1JD,Parole,White - Non-Hispanic,55 and Older,Male,D Felony,Public Order,OWI,Yes,New,Yes
20915,2012,2015,1JD,Parole,White - Non-Hispanic,35-44,Female,Felony - Enhancement to Original Penalty,Property,Forgery/Fraud,Yes,New,Yes
20917,2012,2015,7JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Property,Theft,Yes,New,Yes
20918,2012,2015,5JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,Tech,Yes
20920,2012,2015,7JD,Parole,White - Non-Hispanic,25-34,Female,D Felony,Property,Forgery/Fraud,Yes,New,Yes
20921,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Property,Burglary,Yes,New,Yes
20922,2012,2015,5JD,Parole,White - Non-Hispanic,25-34,Female,C Felony,Drug,Trafficking,Yes,Tech,Yes
20927,2012,2015,3JD,Parole,White - Hispanic,0-25,Male,D Felony,Drug,Trafficking,Yes,New,Yes
20930,2012,2015,5JD,Parole,Black - Non-Hispanic,45-54,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,Tech,Yes
20933,2012,2015,5JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,Yes,New,Yes
20935,2012,2015,5JD,Parole,White - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Public Order,Traffic,Yes,New,Yes
20937,2012,2015,5JD,Parole,Black - Non-Hispanic,0-25,Male,C Felony,Property,Theft,Yes,Tech,Yes
20938,2012,2015,2JD,Parole,Black - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,New,Yes
20939,2012,2015,1JD,Parole,Black - Non-Hispanic,45-54,Male,D Felony,Property,Forgery/Fraud,Yes,New,Yes
20941,2012,2015,6JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Public Order,OWI,Yes,Tech,Yes
20942,2012,2015,2JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,New,Yes
20944,2012,2015,5JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Property,Burglary,Yes,New,Yes
20945,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,Yes,New,Yes
20948,2012,2015,6JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Violent,Assault,Yes,New,Yes
20949,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,New,Yes
20951,2012,2015,1JD,Special Sentence,White - Non-Hispanic,35-44,Male,Special Sentence 2005,Violent,Sex,Yes,New,Yes
20952,2012,2015,5JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Vandalism,Yes,Tech,Yes
20953,2012,2015,1JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,New,Yes
20954,2012,2015,6JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,Tech,Yes
20955,2012,2015,3JD,Special Sentence,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Other,Special Sentence Revocation,Yes,Tech,Yes
20956,2012,2015,6JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Property,Burglary,Yes,Tech,Yes
20957,2012,2015,3JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Drug,Trafficking,Yes,Tech,Yes
20960,2012,2015,5JD,Parole,Black - Non-Hispanic,55 and Older,Male,D Felony,Public Order,OWI,Yes,New,Yes
20964,2012,2015,6JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Property,Theft,Yes,Tech,Yes
20965,2012,2015,6JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Forgery/Fraud,Yes,Tech,Yes
20966,2012,2015,5JD,Parole,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Public Order,Alcohol,Yes,Tech,Yes
20967,2012,2015,8JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,Yes,Tech,Yes
20968,2012,2015,7JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,Tech,Yes
20969,2012,2015,5JD,Parole,Black - Non-Hispanic,45-54,Male,Felony - Enhancement to Original Penalty,Property,Theft,Yes,New,Yes
20971,2012,2015,1JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Violent,Assault,Yes,New,Yes
20973,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,Tech,Yes
20975,2012,2015,4JD,Special Sentence,White - Non-Hispanic,25-34,Male,D Felony,Violent,Sex,Yes,Tech,Yes
20976,2012,2015,5JD,Parole,White - Non-Hispanic,0-25,Male,C Felony,Drug,Trafficking,Yes,New,Yes
20978,2012,2015,5JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,Tech,Yes
20980,2012,2015,1JD,Parole,Black - Non-Hispanic,35-44,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,Tech,Yes
20981,2012,2015,6JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Property,Burglary,Yes,New,Yes
20984,2012,2015,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Public Order,Traffic,Yes,Tech,Yes
20985,2012,2015,1JD,Parole,Black - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Public Order,Weapons,Yes,New,Yes
20986,2012,2015,1JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,Tech,Yes
